order_id,customer_id,city,category,product_name,price,quantity,total_amount,order_date
128,225,Mumbai,Sports,Tennis Racket,66097,5,330485,5/20/2024
129,129,Mumbai,Beauty,Perfume,57126,3,171378,9/10/2024
130,138,Hyderabad,Electronics,Mobile,75892,5,379460,1/22/2023
131,227,Delhi,Electronics,Mobile,62169,5,310845,10/29/2024
132,179,Bangalore,Fashion,Jacket,64951,1,64951,4/26/2024
133,211,Chennai,Home,Chair,14210,2,28420,12/4/2023
134,233,Mumbai,Sports,Tennis Racket,52988,5,264940,2/7/2023
135,264,Mumbai,Home,Chair,42872,1,42872,2/18/2024
136,266,Delhi,Beauty,Shampoo,54665,1,54665,7/12/2023
137,137,Hyderabad,Beauty,Shampoo,58439,1,58439,7/28/2023
138,15,Chennai,Fashion,Jeans,57924,4,231696,5/5/2023
139,8,Hyderabad,Beauty,Lipstick,21258,3,63774,7/18/2024
140,61,Chennai,Sports,Football,29951,1,29951,4/17/2024
141,140,Bangalore,Fashion,Jacket,38754,5,193770,12/23/2024
142,75,Bangalore,Sports,Gym Gloves,32446,4,129784,7/18/2024
143,175,Hyderabad,Fashion,Shoes,9650,3,28950,2/29/2024
144,297,Chennai,Home,Mixer,37572,3,112716,8/24/2024
145,177,Delhi,Sports,Cricket Bat,59029,5,295145,5/10/2024
146,123,Hyderabad,Beauty,Shampoo,60182,3,180546,7/13/2023
147,243,Chennai,Sports,Cricket Bat,54341,1,54341,11/22/2023
148,65,Hyderabad,Sports,Gym Gloves,20436,4,81744,2/7/2023
149,270,Bangalore,Beauty,Face Wash,13654,4,54616,4/13/2023
150,241,Delhi,Electronics,Mobile,54236,2,108472,3/18/2023
151,274,Bangalore,Home,Table,11027,3,33081,11/21/2024
152,36,Pune,Home,Table,71412,1,71412,9/24/2024
153,52,Bangalore,Home,Sofa,12346,4,49384,4/11/2023
154,29,Delhi,Fashion,Jeans,4294,1,4294,11/29/2023
155,272,Bangalore,Home,Chair,56950,2,113900,9/8/2023
156,196,Hyderabad,Beauty,Lipstick,22780,2,45560,3/22/2023
157,237,Chennai,Fashion,Jacket,76935,2,153870,8/26/2023
158,148,Chennai,Home,Table,33966,1,33966,4/21/2024
159,154,Chennai,Beauty,Lipstick,10181,4,40724,12/20/2023
160,197,Bangalore,Sports,Tennis Racket,60378,3,181134,7/23/2023
161,295,Delhi,Electronics,Mobile,50486,5,252430,1/3/2024
162,290,Chennai,Home,Mixer,52379,3,157137,1/9/2023
163,181,Pune,Electronics,Tablet,38012,2,76024,9/13/2024
164,21,Delhi,Fashion,Jeans,18427,1,18427,10/4/2024
165,47,Delhi,Sports,Football,76465,3,229395,5/15/2023
166,277,Delhi,Home,Table,23521,2,47042,5/16/2023
167,152,Chennai,Beauty,Face Wash,22067,3,66201,5/8/2024
168,116,Chennai,Home,Mixer,61885,1,61885,5/25/2023
169,136,Hyderabad,Sports,Tennis Racket,12336,4,49344,1/15/2023
170,196,Chennai,Electronics,Tablet,48811,3,146433,8/21/2024
171,288,Delhi,Home,Mixer,31147,4,124588,1/26/2023
172,155,Chennai,Beauty,Lipstick,8785,4,35140,12/18/2024
173,156,Bangalore,Sports,Football,18820,1,18820,2/8/2023
174,199,Bangalore,Electronics,Laptop,31275,5,156375,5/19/2023
175,51,Bangalore,Home,Table,77483,2,154966,2/29/2024
176,190,Pune,Beauty,Shampoo,37166,1,37166,12/7/2024
177,189,Hyderabad,Sports,Gym Gloves,31447,3,94341,4/12/2023
178,63,Bangalore,Home,Mixer,52684,3,158052,7/14/2023
179,171,Pune,Electronics,Mobile,78769,1,78769,2/21/2023
180,111,Pune,Fashion,Shoes,9492,5,47460,8/1/2023
181,75,Pune,Home,Sofa,78616,1,78616,10/11/2023
182,14,Pune,Beauty,Face Wash,23371,1,23371,11/7/2024
183,9,Pune,Electronics,Headphones,31686,5,158430,11/28/2023
184,59,Chennai,Home,Mixer,17114,4,68456,6/22/2024
185,56,Bangalore,Electronics,Tablet,59256,3,177768,6/9/2024
186,235,Chennai,Beauty,Lipstick,6183,5,30915,11/5/2023
187,56,Bangalore,Electronics,Laptop,63281,4,253124,3/12/2024
188,76,Mumbai,Sports,Football,11089,3,33267,9/14/2024
189,167,Bangalore,Fashion,Jeans,77224,5,386120,12/30/2024
190,221,Mumbai,Beauty,Face Wash,59969,5,299845,9/11/2024
191,212,Delhi,Electronics,Mobile,56870,4,227480,8/22/2023
192,219,Delhi,Sports,Gym Gloves,55024,1,55024,11/17/2023
193,47,Mumbai,Home,Chair,20506,4,82024,3/10/2023
194,285,Mumbai,Electronics,Tablet,13156,3,39468,5/14/2023
195,217,Chennai,Beauty,Face Wash,16521,4,66084,12/29/2023
196,54,Hyderabad,Electronics,Headphones,79196,3,237588,12/27/2023
197,56,Delhi,Beauty,Lipstick,20780,4,83120,8/18/2023
198,116,Bangalore,Beauty,Face Wash,15558,3,46674,8/10/2024
199,140,Chennai,Beauty,Perfume,35554,1,35554,7/4/2023
200,74,Hyderabad,Home,Chair,46509,1,46509,7/5/2023
201,272,Pune,Sports,Football,19095,1,19095,4/4/2023
202,190,Delhi,Sports,Gym Gloves,59960,3,179880,6/11/2023
203,26,Chennai,Home,Mixer,7395,2,14790,6/11/2023
204,227,Bangalore,Electronics,Headphones,58579,4,234316,5/12/2024
205,221,Mumbai,Home,Sofa,67654,1,67654,12/20/2023
206,113,Bangalore,Home,Table,69566,3,208698,2/16/2023
207,109,Pune,Beauty,Perfume,1507,2,3014,11/5/2023
208,255,Chennai,Home,Chair,43507,1,43507,1/8/2023
209,118,Hyderabad,Sports,Cricket Bat,17432,4,69728,6/29/2024
210,224,Mumbai,Beauty,Face Wash,9947,4,39788,2/13/2023
211,294,Bangalore,Sports,Football,41533,5,207665,3/15/2024
212,167,Pune,Sports,Tennis Racket,15596,4,62384,1/22/2023
213,55,Pune,Beauty,Shampoo,47928,1,47928,3/23/2024
214,159,Chennai,Sports,Gym Gloves,69176,1,69176,2/10/2024
215,262,Chennai,Home,Sofa,44155,2,88310,3/20/2023
216,76,Pune,Electronics,Mobile,46293,3,138879,10/22/2024
217,79,Chennai,Electronics,Mobile,34050,2,68100,6/27/2023
218,297,Bangalore,Electronics,Mobile,65264,4,261056,7/31/2024
219,35,Bangalore,Beauty,Face Wash,41936,2,83872,3/26/2024
220,181,Hyderabad,Sports,Tennis Racket,36502,5,182510,2/27/2023
221,30,Delhi,Electronics,Headphones,61021,4,244084,2/8/2023
222,260,Bangalore,Home,Mixer,12335,5,61675,8/31/2024
223,97,Delhi,Sports,Football,59447,5,297235,10/29/2024
224,231,Mumbai,Beauty,Shampoo,66215,2,132430,3/5/2023
225,127,Chennai,Home,Mixer,66632,2,133264,2/10/2023
226,82,Delhi,Sports,Gym Gloves,69190,5,345950,9/16/2024
227,27,Chennai,Home,Chair,51279,4,205116,12/13/2023
228,198,Delhi,Home,Mixer,43713,1,43713,7/25/2024
229,73,Delhi,Home,Sofa,44194,1,44194,8/19/2024
230,44,Delhi,Home,Table,17401,5,87005,12/26/2024
231,270,Mumbai,Beauty,Shampoo,43554,2,87108,11/17/2024
232,93,Pune,Sports,Tennis Racket,2889,3,8667,11/13/2023
233,80,Mumbai,Home,Table,25666,2,51332,5/21/2023
234,20,Chennai,Home,Mixer,67043,5,335215,6/23/2024
235,84,Pune,Home,Sofa,78782,4,315128,6/7/2023
236,187,Chennai,Beauty,Lipstick,57866,1,57866,2/25/2024
237,274,Pune,Fashion,Jacket,37846,4,151384,8/28/2023
238,293,Bangalore,Home,Table,25930,3,77790,11/25/2024
239,215,Pune,Sports,Tennis Racket,50552,5,252760,6/24/2024
240,247,Delhi,Fashion,Shoes,33268,1,33268,10/18/2024
241,43,Pune,Beauty,Perfume,68121,1,68121,10/19/2023
242,47,Pune,Home,Table,67786,2,135572,3/23/2024
243,203,Hyderabad,Sports,Tennis Racket,3995,4,15980,2/24/2023
244,115,Mumbai,Home,Sofa,51115,1,51115,1/19/2024
245,20,Delhi,Home,Mixer,44447,2,88894,5/21/2023
246,3,Mumbai,Sports,Cricket Bat,61987,4,247948,9/22/2024
247,271,Bangalore,Electronics,Headphones,28766,2,57532,7/15/2024
248,25,Pune,Electronics,Headphones,31647,3,94941,5/5/2023
249,275,Mumbai,Sports,Gym Gloves,8732,1,8732,5/26/2024
250,1,Hyderabad,Beauty,Lipstick,19318,3,57954,3/15/2024
251,44,Hyderabad,Home,Sofa,75298,4,301192,7/11/2023
252,260,Hyderabad,Home,Mixer,69451,5,347255,6/3/2024
253,199,Delhi,Electronics,Tablet,62121,1,62121,10/12/2024
254,124,Chennai,Home,Mixer,47305,1,47305,12/20/2023
255,280,Delhi,Electronics,Headphones,17986,1,17986,12/27/2023
256,33,Chennai,Fashion,Jacket,63222,2,126444,5/19/2023
257,103,Mumbai,Sports,Football,38962,2,77924,2/14/2023
258,243,Delhi,Home,Chair,68052,4,272208,7/10/2024
259,170,Delhi,Electronics,Mobile,38001,3,114003,2/18/2023
260,198,Delhi,Electronics,Headphones,57772,4,231088,3/26/2024
261,137,Mumbai,Fashion,Jacket,65711,3,197133,6/15/2024
262,280,Delhi,Sports,Football,56940,5,284700,7/4/2023
263,152,Delhi,Home,Mixer,10994,3,32982,11/7/2024
264,229,Mumbai,Sports,Gym Gloves,22342,4,89368,12/26/2023
265,208,Delhi,Home,Table,36486,1,36486,3/18/2023
266,225,Mumbai,Beauty,Lipstick,4581,2,9162,9/14/2024
267,197,Hyderabad,Fashion,Shirt,31432,3,94296,1/6/2024
268,228,Mumbai,Electronics,Mobile,59472,3,178416,1/16/2024
269,161,Chennai,Beauty,Lipstick,69897,3,209691,2/12/2024
270,256,Hyderabad,Home,Sofa,15369,1,15369,7/10/2023
271,229,Pune,Sports,Football,34811,3,104433,12/21/2024
272,70,Mumbai,Beauty,Face Wash,64882,2,129764,5/6/2023
273,164,Chennai,Sports,Cricket Bat,58841,1,58841,11/29/2024
274,154,Pune,Home,Mixer,72589,5,362945,10/25/2023
275,103,Pune,Fashion,Jeans,67183,2,134366,5/5/2023
276,294,Delhi,Fashion,Jacket,3945,3,11835,7/21/2024
277,204,Chennai,Sports,Cricket Bat,11800,1,11800,11/13/2023
278,65,Delhi,Sports,Gym Gloves,54165,5,270825,3/17/2023
279,66,Hyderabad,Electronics,Tablet,61557,5,307785,12/19/2023
280,29,Mumbai,Beauty,Lipstick,17412,4,69648,5/29/2024
281,166,Chennai,Beauty,Lipstick,40362,2,80724,6/15/2023
282,129,Pune,Fashion,Jeans,68512,3,205536,3/22/2023
283,274,Mumbai,Beauty,Face Wash,16906,3,50718,9/21/2024
284,88,Chennai,Beauty,Lipstick,78069,5,390345,6/7/2023
285,42,Mumbai,Beauty,Face Wash,74374,1,74374,1/30/2023
286,16,Bangalore,Beauty,Face Wash,28131,5,140655,3/2/2024
287,208,Delhi,Beauty,Face Wash,40096,4,160384,9/8/2023
288,213,Bangalore,Sports,Football,8352,2,16704,3/26/2024
289,161,Chennai,Sports,Cricket Bat,45089,5,225445,5/28/2023
290,264,Hyderabad,Home,Chair,52760,2,105520,1/15/2024
291,137,Bangalore,Electronics,Headphones,32185,4,128740,5/6/2023
292,197,Hyderabad,Fashion,Shoes,13189,1,13189,10/25/2023
293,161,Pune,Sports,Cricket Bat,21432,3,64296,8/14/2024
294,158,Bangalore,Fashion,Jacket,67966,4,271864,5/25/2024
295,124,Pune,Electronics,Laptop,52043,5,260215,4/13/2024
296,254,Hyderabad,Beauty,Face Wash,6877,1,6877,10/16/2023
297,221,Pune,Sports,Tennis Racket,70845,1,70845,4/21/2023
298,206,Mumbai,Home,Chair,53355,3,160065,2/16/2023
299,38,Bangalore,Beauty,Lipstick,48016,5,240080,10/23/2023
300,61,Pune,Beauty,Shampoo,72570,3,217710,9/30/2024
301,188,Pune,Electronics,Tablet,49415,3,148245,7/25/2024
302,20,Pune,Fashion,Jacket,66046,1,66046,2/16/2023
303,264,Pune,Home,Table,68569,4,274276,6/2/2023
304,154,Hyderabad,Home,Chair,21799,4,87196,9/23/2024
305,9,Delhi,Home,Table,74283,3,222849,5/1/2024
306,14,Hyderabad,Home,Mixer,55096,5,275480,11/12/2023
307,27,Hyderabad,Sports,Tennis Racket,76321,5,381605,8/22/2023
308,76,Chennai,Sports,Cricket Bat,69212,5,346060,1/25/2024
309,10,Bangalore,Fashion,Shirt,75547,1,75547,7/15/2023
310,105,Bangalore,Home,Table,20348,4,81392,12/8/2024
311,107,Hyderabad,Beauty,Shampoo,8663,2,17326,6/15/2024
312,89,Bangalore,Home,Table,69375,4,277500,11/18/2023
313,136,Hyderabad,Beauty,Face Wash,72101,3,216303,11/23/2024
314,153,Pune,Sports,Cricket Bat,32811,3,98433,7/25/2024
315,246,Delhi,Home,Chair,27668,4,110672,11/21/2023
316,279,Bangalore,Beauty,Face Wash,38221,1,38221,8/10/2024
317,148,Chennai,Sports,Tennis Racket,19698,3,59094,2/13/2023
318,110,Pune,Electronics,Headphones,58483,3,175449,5/5/2024
319,56,Hyderabad,Beauty,Face Wash,74164,3,222492,5/21/2023
320,272,Pune,Beauty,Lipstick,32279,1,32279,11/16/2024
321,242,Mumbai,Fashion,Shirt,13633,4,54532,12/5/2023
322,244,Bangalore,Fashion,Shirt,72635,2,145270,2/21/2024
323,31,Mumbai,Fashion,Jeans,42596,3,127788,10/23/2024
324,214,Pune,Beauty,Lipstick,70643,1,70643,6/29/2023
325,20,Mumbai,Electronics,Tablet,65430,2,130860,10/24/2023
326,279,Hyderabad,Home,Mixer,44414,3,133242,4/10/2024
327,99,Mumbai,Sports,Cricket Bat,66588,4,266352,10/7/2023
328,8,Chennai,Home,Sofa,60650,3,181950,7/10/2023
329,208,Bangalore,Home,Chair,74920,2,149840,6/29/2023
330,49,Pune,Beauty,Face Wash,11868,4,47472,11/16/2024
331,134,Bangalore,Fashion,Jacket,42915,2,85830,1/7/2023
332,299,Chennai,Fashion,Jacket,35495,3,106485,11/6/2023
333,121,Mumbai,Beauty,Perfume,34782,3,104346,12/10/2024
334,258,Chennai,Electronics,Tablet,40713,2,81426,2/20/2024
335,114,Pune,Home,Mixer,39171,3,117513,9/21/2024
336,192,Bangalore,Fashion,Jacket,20578,4,82312,9/12/2024
337,42,Hyderabad,Beauty,Shampoo,70953,2,141906,9/11/2023
338,32,Hyderabad,Sports,Tennis Racket,10737,5,53685,4/25/2023
339,85,Delhi,Beauty,Lipstick,75565,5,377825,6/3/2023
340,251,Mumbai,Beauty,Shampoo,15735,2,31470,8/20/2024
341,263,Bangalore,Beauty,Shampoo,7792,4,31168,5/16/2023
342,158,Chennai,Sports,Football,73742,4,294968,11/19/2024
343,297,Mumbai,Electronics,Tablet,33852,1,33852,8/12/2023
344,31,Mumbai,Electronics,Tablet,45658,1,45658,7/8/2024
345,70,Chennai,Sports,Football,38129,4,152516,7/4/2023
346,193,Mumbai,Sports,Tennis Racket,50632,4,202528,1/22/2024
347,276,Bangalore,Beauty,Lipstick,46082,1,46082,7/2/2023
348,153,Bangalore,Beauty,Lipstick,29688,1,29688,1/24/2023
349,127,Bangalore,Beauty,Shampoo,70221,4,280884,8/24/2023
350,17,Chennai,Home,Sofa,36629,2,73258,4/26/2023
351,52,Hyderabad,Sports,Football,32044,2,64088,3/10/2023
352,23,Bangalore,Electronics,Tablet,78852,1,78852,9/8/2023
353,72,Hyderabad,Sports,Cricket Bat,71247,2,142494,2/27/2023
354,165,Pune,Home,Sofa,76011,3,228033,8/14/2024
355,154,Delhi,Home,Sofa,68821,2,137642,2/28/2024
356,25,Delhi,Electronics,Mobile,56494,5,282470,5/22/2024
357,154,Bangalore,Sports,Tennis Racket,55068,4,220272,6/2/2023
358,74,Bangalore,Fashion,Jacket,32084,2,64168,11/4/2023
359,69,Bangalore,Electronics,Tablet,55092,5,275460,6/26/2024
360,41,Bangalore,Fashion,Jeans,27151,3,81453,10/24/2024
361,138,Bangalore,Home,Mixer,70706,2,141412,2/22/2023
362,287,Pune,Beauty,Perfume,10039,2,20078,8/24/2024
363,109,Pune,Sports,Cricket Bat,44142,3,132426,1/16/2023
364,105,Bangalore,Electronics,Tablet,32297,5,161485,12/21/2024
365,274,Chennai,Fashion,Jeans,37601,4,150404,4/22/2024
366,255,Bangalore,Home,Chair,34783,3,104349,6/9/2024
367,161,Bangalore,Electronics,Tablet,42473,2,84946,1/15/2024
368,284,Hyderabad,Electronics,Mobile,19626,1,19626,9/25/2023
369,169,Pune,Beauty,Shampoo,39191,2,78382,7/20/2023
370,173,Delhi,Sports,Cricket Bat,65944,5,329720,11/1/2024
371,87,Pune,Sports,Gym Gloves,60901,2,121802,12/27/2023
372,31,Hyderabad,Beauty,Shampoo,24623,5,123115,10/19/2024
373,71,Chennai,Electronics,Laptop,6858,1,6858,2/27/2024
374,259,Bangalore,Fashion,Shirt,20295,1,20295,8/12/2023
375,4,Hyderabad,Home,Mixer,63834,4,255336,1/17/2023
376,141,Hyderabad,Beauty,Shampoo,2053,1,2053,6/26/2024
377,55,Mumbai,Home,Mixer,66326,4,265304,7/3/2023
378,270,Delhi,Beauty,Lipstick,32084,2,64168,9/26/2024
379,208,Bangalore,Home,Chair,52522,1,52522,1/18/2024
380,42,Chennai,Beauty,Lipstick,30103,3,90309,12/1/2024
381,283,Bangalore,Electronics,Laptop,53620,4,214480,1/22/2024
382,223,Chennai,Electronics,Laptop,22963,1,22963,5/26/2024
383,109,Chennai,Home,Mixer,69726,1,69726,8/24/2023
384,144,Hyderabad,Beauty,Shampoo,36032,1,36032,3/18/2023
385,107,Hyderabad,Beauty,Perfume,24008,3,72024,1/17/2023
386,289,Pune,Fashion,Jacket,10584,3,31752,6/16/2023
387,72,Chennai,Beauty,Shampoo,71352,3,214056,1/29/2024
388,119,Mumbai,Electronics,Headphones,7538,1,7538,3/23/2024
389,140,Bangalore,Home,Table,43278,1,43278,10/11/2024
390,222,Pune,Sports,Cricket Bat,47136,5,235680,1/20/2024
391,127,Chennai,Beauty,Shampoo,11732,5,58660,10/30/2023
392,79,Chennai,Electronics,Laptop,35623,2,71246,1/25/2024
393,3,Delhi,Sports,Tennis Racket,47777,1,47777,4/4/2023
394,45,Pune,Sports,Tennis Racket,35858,1,35858,5/16/2023
395,209,Mumbai,Sports,Gym Gloves,73505,5,367525,6/8/2024
396,167,Bangalore,Electronics,Laptop,46888,5,234440,4/6/2023
397,287,Pune,Electronics,Headphones,54738,4,218952,3/28/2023
398,138,Delhi,Beauty,Lipstick,50403,2,100806,5/23/2023
399,223,Delhi,Home,Table,19627,1,19627,6/21/2023
400,129,Pune,Sports,Tennis Racket,63969,1,63969,1/5/2024
401,156,Mumbai,Sports,Cricket Bat,60512,1,60512,5/19/2023
402,172,Bangalore,Sports,Tennis Racket,50292,3,150876,3/26/2024
403,103,Bangalore,Beauty,Lipstick,39878,3,119634,9/9/2024
404,252,Hyderabad,Home,Sofa,52698,3,158094,10/26/2023
405,187,Mumbai,Fashion,Jeans,49790,3,149370,2/7/2024
406,282,Mumbai,Beauty,Lipstick,78124,5,390620,7/4/2023
